# 综合最优代理列表（按综合评分排序）
# 格式: IP:端口 延迟(ms) 下载速度(原始值) 综合评分
############################################################
220.127.68.28:50001 276ms 0 kB/s 51.72
112.169.198.92:50001 279ms 0 kB/s 51.63
119.194.243.226:50001 279ms 0 kB/s 51.63
112.166.95.230:50001 286ms 0 kB/s 51.42
175.208.111.195:50001 288ms 0 kB/s 51.36
14.55.153.119:50001 291ms 0 kB/s 51.27
61.81.124.34:50001 293ms 0 kB/s 51.21
121.179.68.136:50001 293ms 0 kB/s 51.21
59.24.1.109:50001 294ms 0 kB/s 51.18
218.154.136.101:50001 298ms 0 kB/s 51.06
