============================================================
代理检测报告 - 2026-03-25 15:55:30.674292
检测文件: asse/iptest_asse.txt
检测时间: 2026-03-25 15:55:30
============================================================
总计检测: 161
成功: 159
失败: 2
超时: 0
成功率: 98.8%

可用代理 (按平均响应时间排序):
153.92.127.26:443#305ms (范围: 296ms-319ms)
193.180.213.29:443#322ms (范围: 320ms-327ms)
91.108.242.85:443#323ms (范围: 313ms-338ms)
193.181.213.217:443#324ms (范围: 317ms-336ms)
193.180.215.69:443#326ms (范围: 322ms-330ms)
83.219.243.50:443#326ms (范围: 319ms-336ms)
5.178.109.158:443#328ms (范围: 320ms-340ms)
46.246.92.219:443#328ms (范围: 323ms-338ms)
192.145.30.27:443#328ms (范围: 326ms-330ms)
80.78.19.185:443#330ms (范围: 323ms-335ms)
194.132.32.162:443#335ms (范围: 311ms-347ms)
79.141.174.235:443#335ms (范围: 312ms-383ms)
213.21.240.109:443#336ms (范围: 322ms-348ms)
41.216.182.98:443#339ms (范围: 325ms-363ms)
83.219.250.141:443#340ms (范围: 329ms-355ms)
93.115.23.184:443#343ms (范围: 334ms-349ms)
193.181.29.120:443#344ms (范围: 331ms-371ms)
62.182.197.126:443#345ms (范围: 334ms-365ms)
91.108.242.171:443#346ms (范围: 317ms-361ms)
91.108.242.98:443#347ms (范围: 332ms-377ms)
62.182.196.25:443#347ms (范围: 326ms-362ms)
142.111.244.42:443#350ms (范围: 338ms-364ms)
62.182.194.157:443#353ms (范围: 334ms-382ms)
62.182.197.72:443#355ms (范围: 338ms-382ms)
195.137.245.4:443#359ms (范围: 340ms-399ms)
94.242.59.38:443#359ms (范围: 340ms-384ms)
193.180.209.21:443#359ms (范围: 358ms-362ms)
94.242.58.99:443#361ms (范围: 324ms-407ms)
77.91.87.14:443#362ms (范围: 342ms-391ms)
62.182.196.47:443#367ms (范围: 362ms-374ms)
212.147.224.250:443#367ms (范围: 350ms-379ms)
194.104.94.185:443#367ms (范围: 355ms-382ms)
91.223.169.74:443#370ms (范围: 338ms-387ms)
13.53.54.165:443#370ms (范围: 357ms-379ms)
70.34.208.234:443#372ms (范围: 356ms-390ms)
91.186.219.15:443#373ms (范围: 373ms-374ms)
91.186.217.158:443#374ms (范围: 374ms-375ms)
62.60.153.202:443#374ms (范围: 374ms-375ms)
62.60.250.193:443#374ms (范围: 373ms-375ms)
91.186.219.122:443#374ms (范围: 374ms-375ms)
91.186.219.61:443#375ms (范围: 374ms-376ms)
213.176.117.52:443#376ms (范围: 373ms-380ms)
91.186.218.93:443#376ms (范围: 373ms-378ms)
62.60.152.180:443#376ms (范围: 375ms-378ms)
62.182.192.195:443#377ms (范围: 375ms-383ms)
31.192.244.129:443#377ms (范围: 360ms-399ms)
91.186.218.58:443#377ms (范围: 373ms-384ms)
91.186.218.221:443#377ms (范围: 374ms-383ms)
62.182.193.22:443#379ms (范围: 364ms-388ms)
91.186.218.54:443#379ms (范围: 375ms-386ms)
89.22.224.41:443#381ms (范围: 372ms-401ms)
62.60.153.232:443#381ms (范围: 373ms-386ms)
89.22.228.241:443#381ms (范围: 381ms-382ms)
62.60.152.64:443#382ms (范围: 378ms-386ms)
62.182.193.13:443#383ms (范围: 325ms-433ms)
77.110.96.51:443#384ms (范围: 381ms-386ms)
89.22.228.137:443#384ms (范围: 375ms-394ms)
45.80.228.151:443#385ms (范围: 375ms-397ms)
138.124.34.149:443#385ms (范围: 383ms-387ms)
91.186.216.73:443#386ms (范围: 373ms-413ms)
77.110.121.157:443#386ms (范围: 374ms-399ms)
212.113.102.74:443#386ms (范围: 383ms-391ms)
89.22.232.67:443#387ms (范围: 383ms-395ms)
62.60.153.23:443#387ms (范围: 374ms-413ms)
213.176.117.186:443#387ms (范围: 375ms-412ms)
