host,ip,port,country,org
https://43.174.45.205:8888,43.174.45.205,8888,SG,ACE
https://139.180.130.239:30501,139.180.130.239,30501,SG,AS-VULTR
https://146.190.108.146:9443,146.190.108.146,9443,SG,DIGITALOCEAN-ASN
https://8.219.172.25:6667,8.219.172.25,6667,SG,"Alibaba US Technology Co., Ltd."
111.119.219.22:16000,111.119.219.22,16000,SG,HUAWEI CLOUDS
https://128.199.90.203:9443,128.199.90.203,9443,SG,DIGITALOCEAN-ASN
https://103.149.46.116:10001,103.149.46.116,10001,SG,xTom Pty Ltd
https://103.179.44.196:10443,103.179.44.196,10443,SG,WebHorizon Internet Services
https://154.91.82.58:10443,154.91.82.58,10443,SG,TERAEXCH
https://8.219.51.0:9443,8.219.51.0,9443,SG,"Alibaba US Technology Co., Ltd."
https://165.232.172.61:9443,165.232.172.61,9443,SG,DIGITALOCEAN-ASN
https://74.82.51.4:20004,74.82.51.4,20004,SG,HURRICANE
https://158.178.225.204:2443,158.178.225.204,2443,SG,ORACLE-BMC-31898
https://43.134.59.203:6666,43.134.59.203,6666,SG,"Tencent Building, Kejizhongyi Avenue"
https://43.175.234.243:8888,43.175.234.243,8888,SG,ACE
https://129.226.155.16:42443,129.226.155.16,42443,SG,"Tencent Building, Kejizhongyi Avenue"
https://4.194.131.141:8081,4.194.131.141,8081,SG,MICROSOFT-CORP-MSN-AS-BLOCK
43.134.35.252:8181,43.134.35.252,8181,SG,"Tencent Building, Kejizhongyi Avenue"
43.175.251.155:90,43.175.251.155,90,SG,ACE
https://43.160.252.36:4433,43.160.252.36,4433,SG,"Tencent Building, Kejizhongyi Avenue"
https://139.180.219.83:8081,139.180.219.83,8081,SG,AS-VULTR
https://64.235.61.162:7000,64.235.61.162,7000,SG,SERVERPOINT
https://83.229.120.141:30050,83.229.120.141,30050,SG,LUCIDACLOUD LIMITED
https://149.28.140.190:8088,149.28.140.190,8088,SG,AS-VULTR
43.175.224.189:25,43.175.224.189,25,SG,ACE
43.174.41.222:25,43.174.41.222,25,SG,ACE
43.175.225.189:25,43.175.225.189,25,SG,ACE
43.175.214.20:111,43.175.214.20,111,SG,ACE
43.174.50.20:111,43.174.50.20,111,SG,ACE
https://178.128.107.58:3128,178.128.107.58,3128,SG,DIGITALOCEAN-ASN
94.74.80.127:8181,94.74.80.127,8181,SG,HUAWEI CLOUDS
https://13.76.162.167:3002,13.76.162.167,3002,SG,MICROSOFT-CORP-MSN-AS-BLOCK
165.22.253.8:58080,165.22.253.8,58080,SG,DIGITALOCEAN-ASN
https://74.82.51.4:30501,74.82.51.4,30501,SG,HURRICANE
https://27.106.100.179:4443,27.106.100.179,4443,SG,HUAWEI CLOUDS
159.138.88.54:8181,159.138.88.54,8181,SG,HUAWEI CLOUDS
43.159.112.44:111,43.159.112.44,111,SG,ACE
https://166.108.229.202:30000,166.108.229.202,30000,SG,HUAWEI CLOUDS
https://138.2.92.55:8888,138.2.92.55,8888,SG,ORACLE-BMC-31898
https://166.108.204.93:30000,166.108.204.93,30000,SG,HUAWEI CLOUDS
https://138.2.85.81:9443,138.2.85.81,9443,SG,ORACLE-BMC-31898
43.175.220.72:111,43.175.220.72,111,SG,ACE
https://103.195.189.214:51200,103.195.189.214,51200,SG,Dromatics Systems Pte Ltd
43.153.203.137:8999,43.153.203.137,8999,SG,"Tencent Building, Kejizhongyi Avenue"
43.134.134.135:9090,43.134.134.135,9090,SG,"Tencent Building, Kejizhongyi Avenue"
https://43.159.44.49:10010,43.159.44.49,10010,SG,"Tencent Building, Kejizhongyi Avenue"
43.163.8.235:3001,43.163.8.235,3001,SG,"Tencent Building, Kejizhongyi Avenue"
https://159.89.201.215:9443,159.89.201.215,9443,SG,DIGITALOCEAN-ASN
